fault,offset_min,ethanol_verdict,ethanol_ok,ethanol_unique,probes_verdict,probes_ok,probes_unique
heater_off,0,acid_pump_stuck,False,False,heater_off,True,True
heater_off,15,acid_pump_stuck,False,False,heater_off,True,True
heater_off,30,acid_pump_stuck,False,False,heater_off,True,True
heater_off,45,acid_pump_stuck,False,False,heater_off,True,True
heater_off,60,acid_pump_stuck,False,False,heater_off,True,True
heater_off,90,heater_off,True,False,heater_off,True,True
heater_off,120,heater_off,True,False,heater_off,True,True
heater_off,150,heater_off,True,False,heater_off,True,True
heater_off,180,heater_off,True,False,heater_off,True,True
heater_off,240,heater_off,True,False,heater_off,True,True
heater_off,300,heater_off,True,False,heater_off,True,True
heater_off,390,heater_off,True,False,heater_off,True,True
heater_clog,0,acid_pump_stuck,False,False,heater_clog,True,True
heater_clog,15,acid_pump_stuck,False,False,heater_clog,True,True
heater_clog,30,acid_pump_stuck,False,False,heater_clog,True,True
heater_clog,45,heater_off,False,False,heater_clog,True,True
heater_clog,60,heater_clog,True,False,heater_clog,True,True
heater_clog,90,heater_clog,True,False,heater_clog,True,True
heater_clog,120,heater_clog,True,False,heater_clog,True,True
heater_clog,150,heater_clog,True,False,heater_clog,True,True
heater_clog,180,heater_clog,True,False,heater_clog,True,True
heater_clog,240,heater_clog,True,False,heater_clog,True,True
heater_clog,300,heater_clog,True,False,heater_clog,True,True
heater_clog,380,heater_clog,True,False,heater_clog,True,True
acid_pump_stuck,0,acid_pump_stuck,True,False,acid_pump_stuck,True,True
acid_pump_stuck,15,acid_pump_stuck,True,False,acid_pump_stuck,True,True
acid_pump_stuck,30,acid_pump_stuck,True,False,acid_pump_stuck,True,True
acid_pump_stuck,45,acid_pump_stuck,True,False,acid_pump_stuck,True,True
acid_pump_stuck,60,acid_pump_stuck,True,False,acid_pump_stuck,True,True
acid_pump_stuck,90,acid_pump_stuck,True,False,acid_pump_stuck,True,True
acid_pump_stuck,120,acid_pump_stuck,True,False,acid_pump_stuck,True,True
acid_pump_stuck,150,acid_pump_stuck,True,False,acid_pump_stuck,True,True
acid_pump_stuck,180,acid_pump_stuck,True,False,acid_pump_stuck,True,True
acid_pump_stuck,240,acid_pump_stuck,True,False,acid_pump_stuck,True,True
acid_pump_stuck,300,acid_pump_stuck,True,False,acid_pump_stuck,True,True
acid_pump_stuck,390,acid_pump_stuck,True,False,acid_pump_stuck,True,True
base_pump_stuck,0,base_pump_stuck,True,False,base_pump_stuck,True,True
base_pump_stuck,15,base_pump_stuck,True,False,base_pump_stuck,True,True
base_pump_stuck,30,base_pump_stuck,True,False,base_pump_stuck,True,True
base_pump_stuck,45,base_pump_stuck,True,False,base_pump_stuck,True,True
base_pump_stuck,60,base_pump_stuck,True,False,base_pump_stuck,True,True
base_pump_stuck,90,base_pump_stuck,True,False,base_pump_stuck,True,True
base_pump_stuck,120,base_pump_stuck,True,False,base_pump_stuck,True,True
base_pump_stuck,150,base_pump_stuck,True,False,base_pump_stuck,True,True
base_pump_stuck,180,base_pump_stuck,True,False,base_pump_stuck,True,True
base_pump_stuck,240,base_pump_stuck,True,False,base_pump_stuck,True,True
base_pump_stuck,300,base_pump_stuck,True,False,base_pump_stuck,True,True
base_pump_stuck,405,base_pump_stuck,True,False,base_pump_stuck,True,True
agitation_aer_stop,0,agitation_aer_clog,False,False,agitation_aer_clog,False,False
agitation_aer_stop,15,agitation_aer_clog,False,False,agitation_aer_clog,False,False
agitation_aer_stop,30,agitation_aer_clog,False,False,agitation_aer_clog,False,False
agitation_aer_stop,45,agitation_aer_clog,False,False,agitation_aer_clog,False,False
agitation_aer_stop,60,agitation_aer_stop,True,False,agitation_aer_clog,False,False
agitation_aer_stop,90,agitation_aer_stop,True,False,agitation_aer_clog,False,False
agitation_aer_stop,120,agitation_aer_stop,True,False,agitation_aer_clog,False,False
agitation_aer_stop,150,agitation_aer_stop,True,True,agitation_aer_clog,False,False
agitation_aer_stop,180,agitation_aer_stop,True,True,agitation_aer_clog,False,False
agitation_aer_stop,240,agitation_aer_stop,True,True,agitation_aer_clog,False,False
agitation_aer_stop,300,agitation_aer_stop,True,True,agitation_aer_clog,False,False
agitation_aer_stop,415,agitation_aer_stop,True,True,agitation_aer_clog,False,False
agitation_aer_clog,0,agitation_aer_clog,True,False,agitation_aer_clog,True,True
agitation_aer_clog,15,agitation_aer_clog,True,False,agitation_aer_clog,True,True
agitation_aer_clog,30,agitation_aer_clog,True,False,agitation_aer_clog,True,True
agitation_aer_clog,45,agitation_aer_clog,True,False,agitation_aer_clog,True,True
agitation_aer_clog,60,agitation_aer_clog,True,False,agitation_aer_clog,True,True
agitation_aer_clog,90,agitation_aer_clog,True,False,agitation_aer_clog,True,True
agitation_aer_clog,120,agitation_aer_clog,True,True,agitation_aer_clog,True,True
agitation_aer_clog,150,agitation_aer_clog,True,True,agitation_aer_clog,True,True
agitation_aer_clog,180,agitation_aer_clog,True,True,agitation_aer_clog,True,True
agitation_aer_clog,240,agitation_aer_clog,True,True,agitation_aer_clog,True,True
agitation_aer_clog,300,agitation_aer_clog,True,True,agitation_aer_clog,True,True
agitation_aer_clog,400,agitation_aer_clog,True,True,agitation_aer_clog,True,True
